id,query,actual_sentiment,predicted_sentiment,correct
1,I am feeling very happy today!,positive,neutral,False
2,I am so grateful for my family.,positive,neutral,False
3,Everything is going great!,positive,neutral,False
4,I just got a promotion at work!,positive,neutral,False
5,Life is beautiful and full of joy.,positive,neutral,False
6,I feel so loved and appreciated.,positive,neutral,False
7,This is the best day of my life!,positive,neutral,False
8,I am excited about my future.,positive,neutral,False
9,I am proud of what I have achieved.,positive,neutral,False
10,I am in a really good mood today.,positive,neutral,False
11,I feel calm and at peace.,positive,neutral,False
12,I had a great conversation with my friend.,positive,neutral,False
13,I love the work I am doing.,positive,neutral,False
14,Everything seems to be falling into place.,positive,neutral,False
15,I am looking forward to the weekend!,positive,neutral,False
16,I had an amazing workout today.,positive,neutral,False
17,I am feeling confident about my abilities.,positive,neutral,False
18,I enjoy the little things in life.,positive,neutral,False
19,I am feeling grateful for all that I have.,positive,neutral,False
20,This meal tastes amazing!,positive,neutral,False
21,"I just helped someone, and it felt great.",positive,neutral,False
22,I am at peace with myself.,positive,neutral,False
23,I had a fun time with my family today.,positive,neutral,False
24,I am learning and growing every day.,positive,neutral,False
25,I am feeling motivated to accomplish my goals.,positive,neutral,False
26,I don't know how I feel right now.,neutral,neutral,True
27,Things are neither good nor bad.,neutral,neutral,True
28,I am just going through the motions.,neutral,neutral,True
29,It's just another normal day.,neutral,neutral,True
30,Nothing special happened today.,neutral,neutral,True
31,I am just feeling okay.,neutral,neutral,True
32,I am not particularly happy or sad.,neutral,neutral,True
33,I am feeling indifferent about things.,neutral,neutral,True
34,It's an average day so far.,neutral,neutral,True
35,Nothing exciting but nothing terrible either.,neutral,neutral,True
36,I am just getting by.,neutral,neutral,True
37,I am not feeling much at all.,neutral,neutral,True
38,It's been a pretty uneventful day.,neutral,neutral,True
39,I have no strong feelings about today.,neutral,neutral,True
40,Things are just as they always are.,neutral,neutral,True
41,I am neither excited nor disappointed.,neutral,neutral,True
42,I am just doing what I need to do.,neutral,neutral,True
43,I feel neutral about this situation.,neutral,neutral,True
44,Today has been pretty average.,neutral,neutral,True
45,Nothing really stands out today.,neutral,neutral,True
46,I have no major complaints or celebrations.,neutral,neutral,True
47,I don't feel any different than usual.,neutral,neutral,True
48,Just another typical day.,neutral,neutral,True
49,I am neither happy nor sad right now.,neutral,neutral,True
50,I feel the same as yesterday.,neutral,neutral,True
51,I feel really sad and hopeless.,negative,neutral,False
52,I am struggling with my emotions.,negative,neutral,False
53,I feel like nothing is going right.,negative,neutral,False
54,I just want to be alone today.,negative,neutral,False
55,I am feeling very anxious and stressed.,negative,neutral,False
56,I am not in a good place mentally.,negative,neutral,False
57,I feel like giving up.,negative,neutral,False
58,Life feels overwhelming right now.,negative,neutral,False
59,I am feeling very lonely.,negative,neutral,False
60,I feel like nobody understands me.,negative,neutral,False
61,I am really tired of everything.,negative,neutral,False
62,I just can't find the motivation to do anything.,negative,neutral,False
63,I am worried about my future.,negative,neutral,False
64,I feel like a failure.,negative,neutral,False
65,I don't know how to handle all this stress.,negative,neutral,False
66,I have been feeling really down lately.,negative,neutral,False
67,I feel like I have lost all hope.,negative,neutral,False
68,I just want to escape from everything.,negative,neutral,False
69,I am feeling really frustrated and angry.,negative,neutral,False
70,I am not okay.,negative,neutral,False
71,I feel like crying all the time.,negative,neutral,False
72,I have no energy to do anything.,negative,neutral,False
73,I feel completely stuck.,negative,neutral,False
74,I am really struggling with everything.,negative,neutral,False
75,I feel like I don't matter.,negative,neutral,False
